transDate,dateOfBirth,fraud_rate_name,fraud_rate_business,fraud_rate_category,fraud_rate_city,fraud_rate_state,fraud_rate_gender,fraud_rate_zip,fraud_rate_job,isFraud,predicted_isFraud
,709816,0.0,0.037542662,0.023101104,0.0,0.002004901,0.006756892,0.0,0.0,,0
,730207,0.0,0.031007752,0.023101104,0.0,0.001952085,0.006756892,0.0,0.0,,0
,730207,0.0,0.015060241,0.017672538,0.0,0.001952085,0.006756892,0.0,0.0,,0
,730207,0.0,0.014388489,0.023101104,0.0,0.001952085,0.006756892,0.0,0.0,,0
,716604,0.0,0.013227513,0.017672538,0.0,0.010800196,0.006756892,0.0,0.0,,0
,730207,0.0,0.012578616,0.023101104,0.0,0.001952085,0.006756892,0.0,0.0,,0
,716604,0.0,0.009404389,0.017672538,0.0,0.010800196,0.006756892,0.0,0.0,,0
,716604,0.0,0.009118541,0.010477299,0.0,0.010800196,0.006756892,0.0,0.0,,0
,730207,0.0,0.0,0.003506535,0.0,0.001952085,0.006756892,0.0,0.0,,0
,725316,0.117647059,0.027932961,0.018063503,0.117647059,0.007343124,0.006756892,0.117647059,0.117647059,,0
,716087,0.0,0.0,0.001549427,0.0,0.004394531,0.006756892,0.0,0.107142857,,0
,704846,0.101265823,0.003952569,0.003257576,0.021621622,0.004990643,0.006756892,0.101265823,0.101265823,,1
,729240,0.093264249,0.019073569,0.017672538,0.093264249,0.010800196,0.006756892,0.093264249,0.093264249,,0
,729240,0.093264249,0.007936508,0.001549427,0.093264249,0.010800196,0.006756892,0.093264249,0.093264249,,0
,726582,0.0657277,0.004065041,0.002980392,0.0657277,0.008063189,0.006756892,0.0657277,0.091872792,,0
,726582,0.0657277,0.002793296,0.005787606,0.0657277,0.008063189,0.006756892,0.0657277,0.091872792,,0
,727479,0.079545455,0.008595989,0.005787606,0.079545455,0.004394531,0.006756892,0.079545455,0.079545455,,0
,727479,0.079545455,0.003968254,0.003257576,0.079545455,0.004394531,0.006756892,0.079545455,0.079545455,,0
,727479,0.079545455,0.0,0.001927913,0.079545455,0.004394531,0.006756892,0.079545455,0.079545455,,0
,709059,0.100671141,0.008810573,0.004189322,0.100671141,0.006798419,0.008066088,0.100671141,0.079422383,,1
,709059,0.100671141,0.007556675,0.001902675,0.100671141,0.006798419,0.008066088,0.100671141,0.079422383,,1
,721363,0.0546875,0.00280112,0.005787606,0.0546875,0.009457755,0.008066088,0.0546875,0.079422383,,0
,721363,0.0546875,0.0,0.005787606,0.0546875,0.009457755,0.008066088,0.0546875,0.079422383,,0
,709059,0.100671141,0.0,0.004189322,0.100671141,0.006798419,0.008066088,0.100671141,0.079422383,,0
,721363,0.0546875,0.0,0.002062371,0.0546875,0.009457755,0.008066088,0.0546875,0.079422383,,0
,715570,0.0,0.003164557,0.002062371,0.0,0.004195804,0.006756892,0.0,0.0703125,,0
,716008,0.140625,0.0,0.002062371,0.045845272,0.012047156,0.006756892,0.140625,0.0703125,,0
,716744,0.068965517,0.0,0.002980392,0.068965517,0.005945575,0.006756892,0.068965517,0.068965517,,0
,712858,0.058823529,0.013227513,0.017672538,0.017045455,0.009333835,0.008066088,0.058823529,0.066666667,,0
,715603,0.066666667,0.004065041,0.002980392,0.066666667,0.010894495,0.008066088,0.066666667,0.066666667,,0
,715603,0.066666667,0.0,0.003257576,0.066666667,0.010894495,0.008066088,0.066666667,0.066666667,,0
,715603,0.066666667,0.0,0.002062371,0.066666667,0.010894495,0.008066088,0.066666667,0.066666667,,0
,720929,0.066225166,0.0,0.002062371,0.066225166,0.004130525,0.008066088,0.066225166,0.066225166,,0
,720929,0.066225166,0.0,0.001927913,0.066225166,0.004130525,0.008066088,0.066225166,0.066225166,,0
,726170,0.061643836,0.023460411,0.010477299,0.061643836,0.019230769,0.008066088,0.061643836,0.061643836,,0
,726170,0.061643836,0.0,0.001902675,0.061643836,0.019230769,0.008066088,0.061643836,0.061643836,,0
,707146,0.075581395,0.014245014,0.017672538,0.075581395,0.00974279,0.006756892,0.075581395,0.056790123,,0
,708683,0.042918455,0.0,0.002980392,0.042918455,0.005625414,0.008066088,0.042918455,0.056790123,,0
,713463,0.018450185,0.010498688,0.017672538,0.018450185,0.009457755,0.006756892,0.018450185,0.056338028,,0
,713463,0.018450185,0.004329004,0.004189322,0.018450185,0.009457755,0.006756892,0.018450185,0.056338028,,0
,713463,0.018450185,0.003759398,0.001927913,0.018450185,0.009457755,0.006756892,0.018450185,0.056338028,,0
,713463,0.018450185,0.002624672,0.005787606,0.018450185,0.009457755,0.006756892,0.018450185,0.056338028,,0
,713463,0.018450185,0.0,0.001902675,0.018450185,0.009457755,0.006756892,0.018450185,0.056338028,,0
,716303,0.0,0.019662921,0.017672538,0.0,0.009234436,0.006756892,0.0,0.053333333,,0
,716303,0.0,0.019073569,0.017672538,0.0,0.009234436,0.006756892,0.0,0.053333333,,0
,716303,0.0,0.01242236,0.018063503,0.0,0.009234436,0.006756892,0.0,0.053333333,,0
,716303,0.0,0.010548523,0.001927913,0.0,0.009234436,0.006756892,0.0,0.053333333,,0
,716303,0.0,0.009940358,0.023101104,0.0,0.009234436,0.006756892,0.0,0.053333333,,0
